;Identificador;rc_clacul;ct_prepa_suelo;ct_k510ha;ct_k511ha;ct_afecta_prod;ct_riego;ct_superf_regada_ha;Tipo_riego;ct_fqui;ct_fqui_npk;ct_fqui_nit;ct_fqui_fos;ct_fqui_pot;su_fertilizada;ct_afito;pq_herb;ct_color_her_pq;pq_ins;ct_color_ins_pq;pq_fun;ct_color_fun_pq;su_plaguicidas;ct_prod;Ventas
12664;12085002087780002;507;1;6;6;6;2; ;0;1;3968,28; ; ; ;6;1; ; ;2;3; ; ;6;32,7272727272727;31,8181818181818
12686;12085002095400001;507;2;,3528;,3528;5;2; ;0;1;330,69; ; ; ;,3528;1;1;5; ; ; ; ;,3528;1,5; 
12688;12085002095400003;507;2;1;1;5;2; ;0;1;551,15; ; ; ;1;1;4;4; ; ; ; ;1;2,6;2,6
12689;12085002095400004;507;2;,3528;,3528;5;2; ;0;1;220,46; ; ; ;,3528;1;1;4; ; ; ; ;,3528;1,6; 
12691;12085002095400005;507;2;1,0584;1,0584;5;2; ;0;1;440,92; ; ; ;1,0584;1;4;5; ; ; ; ;1,0584;5;5
12694;12085002095400007;507;2;,7056;,7056;5;2; ;0;1;220,46; ; ; ;,7056;1; ; ;1;5; ; ;,7056;2;2
12695;12085002095400007;507;2;,1764;,1764;5;2; ;0;1;11,023; ; ; ;,1764;1; ; ;,5;5; ; ;,1764;,45; 
12696;12085002095400007;507;2;,7056;,7056;2;2; ;0;1;220,46; ; ; ;,7056;2; ; ; ; ; ; ; ;2;2
12697;12085002095400008;507;2;,5292;,5292;5;2; ;0;1;220,46; ; ; ;,5292;1;2;4; ; ; ; ;,5292;3,8;3,8
12701;12085002096990006;507;2;1;1;6;2; ;0;1; ;110,23; ; ;1;2; ; ; ; ; ; ; ;,654545454545455; 
12713;12085002098080008;507;2;,24;,24;6;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;1; 
12717;12085002098080015;507;2;,4;,4;6;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;,8; 
12723;12085002101340001;507;2;,5;,5;5;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;1; 
12726;12085002103000002;507;2;1,5;1,5;2;1;1,5;1;1; ;1322,76; ; ;1,5;2; ; ; ; ; ; ; ;8;4
12728;12085002103000003;507;2;,7056;,7056;6;2; ;0;1; ;330,69; ; ;,7056;1;1;4; ; ; ; ;,7056;5;5
12729;12085002103000003;507;2;,7056;,7056;6;2; ;0;1; ;330,69; ; ;,7056;2; ; ; ; ; ; ; ;4;3
12730;12085002103000004;507;2;2;2;6;2; ;0;1; ;881,84; ; ;2;1;1;2; ; ; ; ;2;8;8
12733;12085002103000004;507;2;1;1;6;2; ;0;1; ;440,92; ; ;1;1;1;2; ; ; ; ;1;4;4
